elastic_FP,elastic_heap,tam,item
1,1,0,9201
1,2,1,14836
1,2,2,32051
1,2,3,22670
1,2,4,30824
2,2,5,24453
6,1,6,221
3,2,7,22711
7,1,8,7603
6,1,9,10390
1,3,10,31774
3,3,11,24542
8,1,12,10433
12,2,13,1058
6,2,14,22673
8,2,15,19842
3,3,16,26150
15,1,17,2886
15,1,18,3698
11,2,19,11835
16,1,20,4134
11,1,21,12032
13,1,22,11092
3,4,23,30625
15,1,24,11023
4,3,25,29495
13,1,26,12566
12,2,27,15209
2,4,28,31693
9,2,29,23291
7,2,30,24851
26,1,31,5585
15,2,32,19640
6,4,33,27151
17,1,34,18329
11,3,35,23359
5,4,36,29872
11,2,37,24484
32,1,38,7069
20,3,39,18724
18,3,40,21612
38,1,41,3688
23,2,42,18092
24,2,43,15911
25,1,44,15887
5,3,45,30143
34,1,46,10533
27,2,47,15744
3,4,48,31484
49,1,49,80
9,2,50,28326
27,2,51,16801
12,3,52,25580
49,1,53,3012
51,1,54,1732
43,2,55,8732
29,2,56,16190
45,1,57,7626
48,1,58,5631
50,2,59,4289
19,2,60,22926
10,3,61,27231
9,3,62,29428
10,4,63,29190
58,1,64,3208
56,1,65,3916
64,1,66,981
54,1,67,5293
47,1,68,10238
45,1,69,10480
59,1,70,4119
63,2,71,3232
11,4,72,28985
50,2,73,9279
23,2,74,23146
41,2,75,13600
45,1,76,11405
10,4,77,29195
60,1,78,5870
57,1,79,7710
17,4,80,25904
1,7,81,32643
67,1,82,4516
17,3,83,26857
18,2,84,26445
65,2,85,6137
65,2,86,6435
33,3,87,22538
62,1,88,8275
73,1,89,5096
88,1,90,396
70,1,91,5740
29,3,92,22931
5,4,93,31029
37,1,94,21439
5,4,95,31169
94,1,96,266
16,2,97,28853
2,6,98,31951
46,2,99,17440
12,3,100,29819
56,2,101,13552
84,1,102,4532
64,2,103,10483
100,1,104,706
31,2,105,24100
5,4,106,31552
80,2,107,6416
82,1,108,5988
60,2,109,12173
76,1,110,7765
81,2,111,6694
49,3,112,17514
46,3,113,18916
43,3,114,21588
66,2,115,11611
80,1,116,7792
25,4,117,26406
50,2,118,18392
111,2,119,2355
82,2,120,7929
116,1,121,918
112,1,122,2469
72,1,123,10932
122,1,124,261
93,1,125,6149
18,3,126,29147
122,1,127,456
49,2,128,19430
51,2,129,18769
85,1,130,8560
63,3,131,15586
132,1,132,79
68,2,133,12588
66,2,134,14300
10,6,135,30692
97,1,136,7086
87,1,137,9246
114,1,138,4374
48,3,139,21057
29,3,140,26043
105,2,141,6349
94,2,142,8128
74,2,143,12382
67,2,144,15441
117,2,145,5245
71,2,146,14238
82,2,147,11327
50,2,148,20862
63,2,149,16595
37,3,150,23629
8,6,151,31071
131,1,152,4054
133,1,153,3806
27,2,154,26674
67,2,155,16351
116,1,156,6412
142,1,157,2904
105,2,158,8112
80,2,159,13027
130,1,160,4803
60,2,161,18472
151,1,162,1182
30,4,163,26170
80,1,164,13729
1,7,165,32556
2,6,166,32248
104,2,167,10045
55,2,168,21157
57,2,169,21046
106,1,170,10196
42,3,171,23801
72,2,172,17083
62,2,173,19540
40,3,174,24472
91,2,175,13200
17,4,176,29838
164,1,177,2133
39,3,178,24683
140,2,179,5852
160,1,180,3230
120,2,181,8328
172,1,182,1001
79,2,183,16470
67,2,184,19346
67,2,185,19399
8,5,186,31515
48,3,187,23606
105,1,188,11983
70,1,189,19380
155,1,190,5030
174,1,191,2524
1,7,192,32585
162,2,193,4163
47,2,194,23874
94,1,195,15215
84,2,196,17049
103,1,197,13433
83,1,198,17262
99,2,199,14532
86,2,200,16977
101,1,201,14451
28,3,202,28515
76,3,203,18817
148,1,204,7564
149,2,205,7337
193,1,206,1606
75,3,207,19074
158,1,208,6345
89,2,209,17012
162,1,210,6049
114,1,211,12923
143,1,212,8185
108,1,213,13774
68,1,214,20500
78,4,215,18911
123,2,216,11990
87,3,217,17497
88,2,218,17480
163,2,219,6657
182,1,220,4983
208,1,221,1444
34,4,222,26661
62,4,223,22394
102,1,224,16161
112,2,225,14505
212,1,226,1605
75,3,227,19402
169,1,228,6497
167,1,229,6810
78,2,230,19368
224,1,231,578
212,1,232,2391
168,1,233,6877
110,3,234,15273
110,2,235,15393
142,1,236,10581
200,1,237,4181
158,1,238,8240
28,4,239,28669
60,2,240,22697
67,2,241,21475
84,1,242,18986
63,3,243,22628
