elastic_FP,elastic_heap,tam,item
1,1,0,28176
1,2,1,19994
1,2,2,30358
1,3,3,8903
1,3,4,28406
1,3,5,4883
1,3,6,23535
1,4,7,13365
1,4,8,23428
1,4,9,15139
1,4,10,10701
1,4,11,19117
1,4,12,8488
1,4,13,13141
1,4,14,14629
1,5,15,15135
1,5,16,24996
1,5,17,29869
1,5,18,17398
1,5,19,10336
1,5,20,518
1,5,21,10067
1,5,22,3033
1,5,23,24434
1,5,24,9691
1,5,25,245
1,5,26,20186
1,5,27,18694
1,5,28,27296
1,5,29,25190
1,5,30,32390
1,6,31,5183
1,6,32,30585
1,6,33,30859
1,6,34,27973
1,6,35,32441
1,6,36,13606
1,6,37,25719
1,6,38,26090
1,6,39,24010
1,6,40,16946
1,6,41,11989
1,6,42,24969
1,6,43,19719
1,6,44,30573
1,6,45,2694
1,6,46,20360
1,6,47,9738
1,6,48,4253
1,6,49,10892
1,6,50,9209
1,6,51,9587
1,6,52,19825
1,6,53,12071
1,6,54,8231
1,6,55,24877
1,6,56,7862
1,6,57,28221
1,6,58,2415
1,6,59,29683
1,6,60,13261
1,6,61,6911
1,6,62,16978
1,7,63,530
1,7,64,31837
1,7,65,4298
1,7,66,31176
1,7,67,31600
1,7,68,29253
1,7,69,17739
1,7,70,25814
1,7,71,16077
1,7,72,16341
1,7,73,9703
1,7,74,13922
1,7,75,585
1,7,76,5693
1,7,77,25690
1,7,78,18759
1,7,79,9510
1,7,80,18501
1,7,81,30366
1,7,82,12453
1,7,83,20176
1,7,84,32063
1,7,85,19982
1,7,86,8826
1,7,87,32538
1,7,88,4154
1,7,89,2507
1,7,90,28791
1,7,91,29643
1,7,92,28537
1,7,93,10335
1,7,94,780
1,7,95,1881
1,7,96,4132
1,7,97,31904
1,7,98,2758
1,7,99,27892
1,7,100,19004
1,7,101,27095
1,7,102,23514
1,7,103,28102
1,7,104,12500
1,7,105,11042
1,7,106,10242
1,7,107,2938
1,7,108,14975
1,7,109,10775
1,7,110,2695
1,7,111,11259
1,7,112,19973
1,7,113,10410
1,7,114,6815
1,7,115,12926
1,7,116,1882
1,7,117,16977
1,7,118,30714
1,7,119,10690
1,7,120,18640
1,7,121,2150
1,7,122,1432
1,7,123,25494
1,7,124,27787
1,7,125,15820
1,7,126,18141
1,8,127,12701
1,8,128,10805
1,8,129,30165
1,8,130,4839
1,8,131,6990
1,8,132,1268
1,8,133,6755
1,8,134,4639
1,8,135,13630
1,8,136,21913
1,8,137,7502
1,8,138,14862
1,8,139,32162
1,8,140,17691
1,8,141,22790
1,8,142,15219
1,8,143,25103
1,8,144,19267
1,8,145,25722
1,8,146,5778
1,8,147,21125
1,8,148,1448
1,8,149,24120
1,8,150,18894
1,8,151,1452
1,8,152,31454
1,8,153,29397
1,8,154,20090
1,8,155,21085
1,8,156,7659
1,8,157,8847
1,8,158,22509
1,8,159,16996
1,8,160,9722
1,8,161,2609
1,8,162,2260
1,8,163,17029
1,8,164,3668
1,8,165,13111
1,8,166,4813
1,8,167,5053
1,8,168,21131
1,8,169,12083
1,8,170,29745
1,8,171,25033
1,8,172,15096
1,8,173,623
1,8,174,18480
1,8,175,8941
1,8,176,19816
1,8,177,8660
1,8,178,23844
1,8,179,9454
1,8,180,13843
1,8,181,2058
1,8,182,1311
1,8,183,27488
1,8,184,15566
1,8,185,9697
1,8,186,21702
1,8,187,17192
1,8,188,6785
1,8,189,12784
1,8,190,17507
1,8,191,12089
1,8,192,17114
1,8,193,7036
1,8,194,26421
1,8,195,4769
1,8,196,30275
1,8,197,9371
1,8,198,11531
1,8,199,15305
1,8,200,12306
1,8,201,26520
1,8,202,25105
1,8,203,13560
1,8,204,17664
1,8,205,19354
1,8,206,24809
1,8,207,32282
1,8,208,17885
1,8,209,11393
1,8,210,11005
1,8,211,5056
1,8,212,31362
1,8,213,14865
1,8,214,23316
1,8,215,26471
1,8,216,2310
1,8,217,21074
1,8,218,9764
1,8,219,11517
1,8,220,7477
1,8,221,23350
1,8,222,24167
1,8,223,8609
1,8,224,9277
1,8,225,24445
1,8,226,11441
1,8,227,12203
1,8,228,28843
1,8,229,29398
1,8,230,29697
1,8,231,5100
1,8,232,23190
1,8,233,8519
1,8,234,4950
1,8,235,26679
1,8,236,12314
1,8,237,28110
1,8,238,31172
1,8,239,14111
1,8,240,2569
1,8,241,9289
1,8,242,16582
1,8,243,32003
1,8,244,22748
1,8,245,659
1,8,246,16598
1,8,247,14920
1,8,248,15856
1,8,249,31984
1,8,250,21563
1,8,251,31462
1,8,252,1263
1,8,253,8619
1,8,254,15395
